"filename", "language", "Dart", "PowerShell", "Shell Script", "JavaScript", "YAML", "JSON", "HTML", "Markdown", "CMake", "C++", "Swift", "hetu", "XML", "Properties", "WebAssembly Text Format", "comment", "blank", "total"
"e:\code\r6box\r6box\lib\features\page-modules\fullscreen_test_page_module.dart", "Dart", 32, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 11, 48
"e:\code\r6box\r6box\lib\features\page-modules\home_page_module.dart", "Dart", 29, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 10, 43
"e:\code\r6box\r6box\lib\features\page-modules\legend_manager_page_module.dart", "Dart", 32, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 11, 48
"e:\code\r6box\r6box\lib\features\page-modules\map_atlas_page_module.dart", "Dart", 29, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 10, 43
"e:\code\r6box\r6box\lib\features\page-modules\markdown_renderer_demo_page_module.dart", "Dart", 21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 8, 30
"e:\code\r6box\r6box\lib\features\page-modules\settings_page_module.dart", "Dart", 29, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 10, 43
"e:\code\r6box\r6box\lib\features\page-modules\user_preferences_page_module.dart", "Dart", 29, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 10, 43
"e:\code\r6box\r6box\lib\features\page-modules\vfs_file_manager_page_module.dart", "Dart", 29, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 10, 43
"e:\code\r6box\r6box\lib\features\page-modules\web_context_menu_demo_page_module.dart", "Dart", 24, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 9, 34
"e:\code\r6box\r6box\lib\features\page_registry.dart", "Dart", 69, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 15, 96
"e:\code\r6box\r6box\lib\l10n\app_localizations.dart", "Dart", 257, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 872, 218, 1347
